KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX
FVC.Q.LU.N.R.A20.A.1.A1.0000.E1.Z01.E,Q,LU,N,R,A20,A,1,A1,0000,E1,Z01,E
FVC.Q.LU.N.R.A20.A.1.U2.2220.00.Z01.E,Q,LU,N,R,A20,A,1,U2,2220,00,Z01,E
FVC.Q.LU.N.R.A20.A.1.U2.2240.00.Z01.E,Q,LU,N,R,A20,A,1,U2,2240,00,Z01,E
FVC.Q.LU.N.R.A20.A.1.U5.2240.00.Z01.E,Q,LU,N,R,A20,A,1,U5,2240,00,Z01,E
FVC.Q.U2.N.T.A30.F.1.U2.2000.ZZ.Z01.E,Q,U2,N,T,A30,F,1,U2,2000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.F.1.U5.1000.ZZ.Z01.E,Q,U2,N,T,A30,F,1,U5,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.F.4.U2.1000.ZZ.Z01.E,Q,U2,N,T,A30,F,4,U2,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.F.4.U4.0000.ZZ.Z01.E,Q,U2,N,T,A30,F,4,U4,0000,ZZ,Z01,E
FVC.Q.U2.N.S.A30.H.4.U2.2000.ZZ.Z01.E,Q,U2,N,S,A30,H,4,U2,2000,ZZ,Z01,E
FVC.Q.U2.N.S.A40.A.4.A1.0000.E4.Z01.E,Q,U2,N,S,A40,A,4,A1,0000,E4,Z01,E
FVC.Q.U2.N.S.A50.A.1.U2.2271.ZZ.Z01.E,Q,U2,N,S,A50,A,1,U2,2271,ZZ,Z01,E
FVC.Q.U2.N.S.L20.F.4.A1.0000.ZZ.Z01.E,Q,U2,N,S,L20,F,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.F.A20.A.1.U6.2240.E1.Z01.E,Q,IT,N,F,A20,A,1,U6,2240,E1,Z01,E
FVC.Q.IT.N.F.A20.A.4.A1.0000.E0.Z01.E,Q,IT,N,F,A20,A,4,A1,0000,E0,Z01,E
FVC.Q.IT.N.F.A20.A.4.A1.0000.E1.Z01.E,Q,IT,N,F,A20,A,4,A1,0000,E1,Z01,E
FVC.Q.IT.N.F.A20.A.4.U2.1000.00.Z01.E,Q,IT,N,F,A20,A,4,U2,1000,00,Z01,E
FVC.Q.IT.N.F.A20.A.4.U2.2240.E1.Z01.E,Q,IT,N,F,A20,A,4,U2,2240,E1,Z01,E
FVC.Q.U2.N.R.A30.G.4.A1.0000.ZZ.Z01.E,Q,U2,N,R,A30,G,4,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.G.4.U6.0000.ZZ.Z01.E,Q,U2,N,R,A30,G,4,U6,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.G.4.U6.2000.ZZ.Z01.E,Q,U2,N,R,A30,G,4,U6,2000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.G.4.U6.2271.ZZ.Z01.E,Q,U2,N,R,A30,G,4,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.R.A30.H.1.A1.0000.ZZ.Z01.E,Q,U2,N,R,A30,H,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.H.1.U6.0000.ZZ.Z01.E,Q,U2,N,R,A30,H,1,U6,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.H.1.U6.2271.ZZ.Z01.E,Q,U2,N,R,A30,H,1,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.R.A30.H.4.U2.0000.ZZ.Z01.E,Q,U2,N,R,A30,H,4,U2,0000,ZZ,Z01,E
FVC.Q.IT.N.F.A50.A.1.A1.0000.ZZ.Z01.E,Q,IT,N,F,A50,A,1,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.F.AT1.A.4.A1.0000.ZZ.Z01.E,Q,IT,N,F,AT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.F.L40.L.4.A1.0000.ZZ.Z01.E,Q,IT,N,F,L40,L,4,A1,0000,ZZ,Z01,E
FVC.Q.IT.N.O.A10.A.4.U2.1000.ZZ.Z01.E,Q,IT,N,O,A10,A,4,U2,1000,ZZ,Z01,E
FVC.Q.IT.N.O.A20.A.1.U2.2240.E1.Z01.E,Q,IT,N,O,A20,A,1,U2,2240,E1,Z01,E
FVC.Q.IT.N.O.A20.A.4.A1.0000.E1.Z01.E,Q,IT,N,O,A20,A,4,A1,0000,E1,Z01,E
FVC.Q.IT.N.O.A20.A.4.U2.1000.E1.Z01.E,Q,IT,N,O,A20,A,4,U2,1000,E1,Z01,E
FVC.Q.IE.N.T.A10.A.4.U4.00BK.ZZ.Z01.E,Q,IE,N,T,A10,A,4,U4,00BK,ZZ,Z01,E
FVC.Q.IE.N.T.A10.F.1.A1.0000.ZZ.Z01.E,Q,IE,N,T,A10,F,1,A1,0000,ZZ,Z01,E
FVC.Q.IE.N.T.A10.F.1.U2.1000.ZZ.Z01.E,Q,IE,N,T,A10,F,1,U2,1000,ZZ,Z01,E
FVC.Q.LU.N.R.A20.A.1.U6.2240.E1.Z01.E,Q,LU,N,R,A20,A,1,U6,2240,E1,Z01,E
FVC.Q.LU.N.R.A20.A.4.U2.2260.00.Z01.E,Q,LU,N,R,A20,A,4,U2,2260,00,Z01,E
FVC.Q.LU.N.R.A20.A.4.U2.2260.E1.Z01.E,Q,LU,N,R,A20,A,4,U2,2260,E1,Z01,E
FVC.Q.IT.N.T.T00.A.1.A1.0000.ZZ.Z01.E,Q,IT,N,T,T00,A,1,A1,0000,ZZ,Z01,E
FVC.Q.LT.N.S.A10.A.1.U2.2271.ZZ.Z01.E,Q,LT,N,S,A10,A,1,U2,2271,ZZ,Z01,E
FVC.Q.LT.N.S.A10.A.1.U6.2271.ZZ.Z01.E,Q,LT,N,S,A10,A,1,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.S.L40.G.I.A1.0000.ZZ.Z01.E,Q,U2,N,S,L40,G,I,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.S.LT1.A.4.A1.0000.ZZ.Z01.E,Q,U2,N,S,LT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.1.A1.0000.ZZ.Z01.E,Q,U2,N,T,A10,A,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.1.U5.2271.ZZ.Z01.E,Q,U2,N,T,A10,A,1,U5,2271,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.1.U6.1000.ZZ.Z01.E,Q,U2,N,T,A10,A,1,U6,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.4.U2.2271.ZZ.Z01.E,Q,U2,N,T,A10,A,4,U2,2271,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.4.U6.1000.ZZ.Z01.E,Q,U2,N,T,A10,A,4,U6,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.A.I.U2.1000.ZZ.Z01.E,Q,U2,N,T,A10,A,I,U2,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.F.1.U4.00BK.ZZ.Z01.E,Q,U2,N,T,A10,F,1,U4,00BK,ZZ,Z01,E
FVC.Q.U2.N.T.A10.F.1.U5.1000.ZZ.Z01.E,Q,U2,N,T,A10,F,1,U5,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.F.1.U6.2271.ZZ.Z01.E,Q,U2,N,T,A10,F,1,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.T.A10.K.1.A1.0000.ZZ.Z01.E,Q,U2,N,T,A10,K,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A10.K.1.U4.00NB.ZZ.Z01.E,Q,U2,N,T,A10,K,1,U4,00NB,ZZ,Z01,E
FVC.Q.U2.N.T.A10.K.4.U5.2271.ZZ.Z01.E,Q,U2,N,T,A10,K,4,U5,2271,ZZ,Z01,E
FVC.Q.U2.N.T.A20.A.1.A1.0000.00.Z01.E,Q,U2,N,T,A20,A,1,A1,0000,00,Z01,E
FVC.Q.U2.N.T.A20.A.1.A1.0000.E0.Z01.E,Q,U2,N,T,A20,A,1,A1,0000,E0,Z01,E
